Username,Repo_name,Stars,Repo_url
practical-tutorials,project-based-learning,180000,http://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,173000,http://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,56000,http://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,54000,http://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,48000,http://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,43000,http://github.com/x64dbg/x64dbg
WerWolv,ImHex,38000,http://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,38000,http://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,35000,http://github.com/ClickHouse/ClickHouse
huihut,interview,33000,http://github.com/huihut/interview
carbon-language,carbon-lang,32000,http://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,30000,http://github.com/CMU-Perceptual-Computing-Lab/openpose
doocs,leetcode,29000,http://github.com/doocs/leetcode
TheAlgorithms,C-Plus-Plus,29000,http://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,29000,http://github.com/microsoft/calculator
aseprite,aseprite,27000,http://github.com/aseprite/aseprite
dragonflydb,dragonfly,24000,http://github.com/dragonflydb/dragonfly
changkun,modern-cpp-tutorial,23000,http://github.com/changkun/modern-cpp-tutorial
gabime,spdlog,22000,http://github.com/gabime/spdlog
ethereum,solidity,22000,http://github.com/ethereum/solidity
